pico-8 cartridge // http://www.pico-8.com
version 43
__music__
00 00424344
00 01434344
00 00044344
00 02034344
01 00054344
00 01054344
00 00054344
00 02054344
00 00064344
00 01074344
00 00060444
00 02070844
00 00050944
00 01050a44
00 0005090b
00 01050f0b
00 0005090b
00 010c0f0b
00 00050d09
00 01050e0f
00 00050d09
00 01050e0f
00 0005090b
00 0205100b
00 11424344
00 12134344
00 17181419
00 171a151b
00 17181419
00 1c1a161d
00 171e1419
00 171f151b
00 171e1419
00 171f151b
00 171e1419
00 1c1f151b
00 171e1419
00 1c1f151b
00 5c1e1419
00 5c1f151b
00 5c1e1419
00 5c1f151b
00 0b204344
00 41214344
00 0b042044
02 4b222144
01 2d2e2f40
00 30313240
00 33343540
00 36373840
02 393a3b40
01 2d054040
00 30054040
00 33054040
00 36054040
02 39054040
